feature_a,feature_b,pearson,spearman,max_abs_correlation,assessment
Utilization,Population Impact,0.9939097147915968,0.9939097787585547,0.9939097787585547,Potential duplication
Utilization,Spend,0.9869081106850617,0.9869071885040284,0.9869081106850617,Potential duplication
Spend,Population Impact,0.9732841278229802,0.9732802228720813,0.9732841278229802,Potential duplication
Population Impact,Disease Burden,0.9016802706318667,0.9016783341914372,0.9016802706318667,Potential duplication
Utilization,Disease Burden,0.8764429419758443,0.8764492908613816,0.8764492908613816,Strong overlap
Spend,Disease Burden,0.8241759181814771,0.8241646336107632,0.8241759181814771,Strong overlap
Disease Burden,Risk,-0.7445504511511107,-0.7445301878207725,0.7445504511511107,Strong overlap
Population Impact,Risk,-0.5305198478376641,-0.5304719602990374,0.5305198478376641,Moderate overlap
Utilization,Risk,-0.5046474265501562,-0.5046019949933229,0.5046474265501562,Moderate overlap
Spend,Risk,-0.41126415895425306,-0.4111971110429292,0.41126415895425306,Moderate overlap
