rxcui,drug_name,ehi_score,ehi_rank,ehi_percentile,ehi_tier_label,utilization_score,spend_score,population_impact_score,disease_burden_score,risk_score,ehi_v6_ml_weighted_score,ehi_v6_ml_rank,ehi_v6_ml_percentile,ehi_v6_ml_tier_label
327361,adalimumab,93.31,1,100.0,Enterprise Critical,99.88,100.0,99.85,100.0,33.66,94.33667456617768,1,100.0,Strategic Priority
1364430,apixaban,93.19,4,99.99,Enterprise Critical,99.95,99.9,99.95,99.85,32.64,94.25219114042986,2,99.9966811589393,Strategic Priority
253337,bevacizumab,93.24,2,100.0,Enterprise Critical,99.66,99.99,99.7,99.94,34.01,94.24456944185533,3,99.99336231787859,Strategic Priority
1547545,pembrolizumab,93.23,3,99.99,Enterprise Critical,99.64,99.99,99.69,99.93,34.0,94.23285222650605,4,99.99004347681789,Strategic Priority
253182,"insulin, regular, human",93.15,7,99.97,Enterprise Critical,100.0,99.96,100.0,99.95,31.73,94.23038522614249,5,99.9867246357572,Strategic Priority
86009,insulin lispro,93.13,8,99.97,Enterprise Critical,99.99,99.95,100.0,99.92,31.63,94.21171152751492,6,99.9834057946965,Strategic Priority
342369,lenalidomide,93.18,5,99.99,Enterprise Critical,99.68,100.0,99.68,99.81,33.67,94.20458062250074,7,99.98008695363579,Strategic Priority
274783,insulin glargine,93.12,9,99.97,Enterprise Critical,99.99,99.94,99.99,99.95,31.51,94.20187955719078,8,99.97676811257509,Strategic Priority
51428,"insulin aspart, human",93.11,10,99.96,Enterprise Critical,99.99,99.95,99.99,99.88,31.55,94.19775874919945,9,99.9734492715144,Strategic Priority
224905,trastuzumab,93.18,5,99.99,Enterprise Critical,99.66,99.99,99.68,99.84,33.65,94.19704128697022,10,99.97013043045368,Strategic Priority
1670007,insulin degludec,93.11,10,99.96,Enterprise Critical,99.98,99.94,99.98,99.95,31.44,94.19039522119851,11,99.96681158939298,Strategic Priority
400008,"insulin glulisine, human",93.1,11,99.95,Enterprise Critical,99.98,99.93,99.98,99.92,31.4,94.180685172383,12,99.96349274833229,Strategic Priority
1597876,nivolumab,93.16,6,99.98,Enterprise Critical,99.64,99.98,99.65,99.85,33.55,94.17495961481448,13,99.96017390727158,Strategic Priority
121191,rituximab,93.16,6,99.98,Enterprise Critical,99.64,99.98,99.64,99.86,33.5,94.17045072893637,14,99.95685506621088,Strategic Priority
11289,warfarin,93.09,12,99.95,Enterprise Critical,99.88,99.86,99.88,99.79,32.22,94.16064399823277,15,99.95353622515017,Strategic Priority
1991302,semaglutide,93.06,14,99.94,Enterprise Critical,99.97,99.91,99.96,99.88,31.2,94.14665493856224,16,99.95021738408948,Strategic Priority
191831,infliximab,93.1,11,99.95,Enterprise Critical,99.72,99.96,99.71,99.83,32.76,94.1425525074035,17,99.94689854302877,Strategic Priority
1721560,osimertinib,93.1,11,99.95,Enterprise Critical,99.64,99.98,99.64,99.56,33.5,94.12895815851583,18,99.94357970196808,Strategic Priority
214555,etanercept,93.08,13,99.94,Enterprise Critical,99.72,99.96,99.69,99.76,32.64,94.11940132183184,19,99.94026086090737,Strategic Priority
114194,warfarin sodium,93.05,15,99.93,Enterprise Critical,99.85,99.85,99.8,99.79,32.03,94.11729780237249,20,99.93694201984667,Strategic Priority
1371041,ado-trastuzumab emtansine,93.06,14,99.94,Enterprise Critical,99.62,99.97,99.57,99.44,33.55,94.09482723333853,21,99.93362317878596,Strategic Priority
32968,clopidogrel,93.0,18,99.92,Enterprise Critical,99.86,99.86,99.79,99.59,31.87,94.08056931054806,22,99.93030433772526,Strategic Priority
253181,"insulin isophane, human",92.95,20,99.91,Enterprise Critical,99.98,99.93,99.98,99.3,31.17,94.07554896925376,23,99.92698549666457,Strategic Priority
847083,ustekinumab,93.03,16,99.93,Enterprise Critical,99.69,99.94,99.62,99.67,32.58,94.07405239076641,24,99.92366665560385,Strategic Priority
1116632,ticagrelor,92.98,19,99.92,Enterprise Critical,99.84,99.84,99.77,99.56,31.86,94.06002904621201,25,99.92034781454316,Strategic Priority
1442981,ibrutinib,93.01,17,99.93,Enterprise Critical,99.61,99.97,99.31,99.45,33.47,94.04193654079299,26,99.91702897348246,Strategic Priority
221108,"insulin isophane, pork",92.88,24,99.89,Enterprise Critical,99.97,99.92,99.97,99.09,31.0,94.0244021141258,27,99.91371013242176,Strategic Priority
352385,"insulin aspart protamine, human",92.89,23,99.9,Enterprise Critical,99.97,99.92,99.93,99.46,30.33,94.01239579487779,28,99.91039129136105,Strategic Priority
8638,prednisolone,92.9,22,99.9,Enterprise Critical,99.83,99.78,99.95,99.78,30.56,93.99404796331021,29,99.90707245030036,Strategic Priority
236991,clopidogrel bisulfate,92.88,24,99.89,Enterprise Critical,99.85,99.85,99.73,99.25,31.5,93.98619659050047,30,99.90375360923966,Strategic Priority
3264,dexamethasone,92.89,23,99.9,Enterprise Critical,99.82,99.77,99.94,99.77,30.56,93.98489078465485,31,99.90043476817895,Strategic Priority
5492,hydrocortisone,92.88,24,99.89,Enterprise Critical,99.82,99.77,99.94,99.74,30.56,93.9807415276128,32,99.89711592711825,Strategic Priority
1599538,edoxaban,92.89,23,99.9,Enterprise Critical,99.79,99.83,99.71,99.36,31.62,93.9803493161976,33,99.89379708605755,Strategic Priority
10759,triamcinolone,92.88,24,99.89,Enterprise Critical,99.81,99.77,99.93,99.78,30.54,93.97900364106648,34,99.89047824499686,Strategic Priority
2103477,adalimumab-adbm,92.95,20,99.91,Enterprise Critical,99.58,99.75,99.59,100.0,31.97,93.97867396100973,35,99.88715940393614,Strategic Priority
2103479,adalimumab-atto,92.95,20,99.91,Enterprise Critical,99.58,99.75,99.59,100.0,31.97,93.97867396100973,35,99.88715940393614,Strategic Priority
2612153,adalimumab-bwwd,92.94,21,99.91,Enterprise Critical,99.58,99.75,99.56,99.98,31.96,93.970031373797,37,99.88052172181474,Strategic Priority
8640,prednisone,92.87,25,99.88,Enterprise Critical,99.81,99.76,99.92,99.73,30.5,93.96484955605403,38,99.87720288075404,Strategic Priority
6902,methylprednisolone,92.86,26,99.87,Enterprise Critical,99.81,99.76,99.92,99.72,30.5,93.96346647037335,39,99.87388403969334,Strategic Priority
60548,exenatide,92.84,27,99.87,Enterprise Critical,99.92,99.87,99.87,99.59,29.96,93.95864318926598,40,99.87056519863263,Strategic Priority
1545653,empagliflozin,92.83,28,99.86,Enterprise Critical,99.93,99.88,99.9,99.54,29.9,93.95780065544052,41,99.86724635757194,Strategic Priority
83367,atorvastatin,92.83,28,99.86,Enterprise Critical,99.95,99.82,99.97,99.7,29.52,93.95432427420299,42,99.86392751651123,Strategic Priority
1551291,dulaglutide,92.83,28,99.86,Enterprise Critical,99.92,99.87,99.88,99.6,29.84,93.95159028364652,43,99.86060867545054,Strategic Priority
1373458,canagliflozin,92.82,29,99.84,Enterprise Critical,99.92,99.87,99.83,99.64,29.76,93.94199073143426,44,99.85728983438983,Strategic Priority
103468,hydrocortisone butyrate,92.84,27,99.87,Enterprise Critical,99.8,99.73,99.91,99.69,30.38,93.93705025143107,45,99.85397099332913,Strategic Priority
6809,metformin,92.8,31,99.83,Enterprise Critical,99.96,99.83,99.97,99.64,29.34,93.93695120405441,46,99.85065215226842,Strategic Priority
475968,liraglutide,92.79,32,99.82,Enterprise Critical,99.93,99.88,99.91,99.28,30.0,93.93194650602473,47,99.84733331120773,Strategic Priority
19831,budesonide,92.82,29,99.84,Enterprise Critical,99.8,99.76,99.91,99.59,30.4,93.93147355649825,48,99.84401447014703,Strategic Priority
27197,hydrocortisone acetate,92.83,28,99.86,Enterprise Critical,99.79,99.72,99.89,99.74,30.31,93.92861397261177,49,99.84069562908631,Strategic Priority
10582,levothyroxine,92.8,31,99.83,Enterprise Critical,99.96,99.83,99.96,99.75,29.08,93.92857392674567,50,99.83737678802562,Strategic Priority
