rxcui,drug_name,ehi_v6_ml_weighted_score,ehi_v6_ml_rank,ehi_v6_ml_percentile,ehi_v6_ml_tier_label,utilization_score,spend_score,population_impact_score,disease_burden_score,risk_score
327361,adalimumab,94.33667456617768,1,100.0,Strategic Priority,99.88,100.0,99.85,100.0,33.66
1364430,apixaban,94.25219114042986,2,99.9966811589393,Strategic Priority,99.95,99.9,99.95,99.85,32.64
253337,bevacizumab,94.24456944185533,3,99.99336231787859,Strategic Priority,99.66,99.99,99.7,99.94,34.01
1547545,pembrolizumab,94.23285222650605,4,99.99004347681789,Strategic Priority,99.64,99.99,99.69,99.93,34.0
253182,"insulin, regular, human",94.23038522614249,5,99.9867246357572,Strategic Priority,100.0,99.96,100.0,99.95,31.73
86009,insulin lispro,94.21171152751492,6,99.9834057946965,Strategic Priority,99.99,99.95,100.0,99.92,31.63
342369,lenalidomide,94.20458062250074,7,99.98008695363579,Strategic Priority,99.68,100.0,99.68,99.81,33.67
274783,insulin glargine,94.20187955719078,8,99.97676811257509,Strategic Priority,99.99,99.94,99.99,99.95,31.51
51428,"insulin aspart, human",94.19775874919945,9,99.9734492715144,Strategic Priority,99.99,99.95,99.99,99.88,31.55
224905,trastuzumab,94.19704128697022,10,99.97013043045368,Strategic Priority,99.66,99.99,99.68,99.84,33.65
1670007,insulin degludec,94.19039522119851,11,99.96681158939298,Strategic Priority,99.98,99.94,99.98,99.95,31.44
400008,"insulin glulisine, human",94.180685172383,12,99.96349274833229,Strategic Priority,99.98,99.93,99.98,99.92,31.4
1597876,nivolumab,94.17495961481448,13,99.96017390727158,Strategic Priority,99.64,99.98,99.65,99.85,33.55
121191,rituximab,94.17045072893637,14,99.95685506621088,Strategic Priority,99.64,99.98,99.64,99.86,33.5
11289,warfarin,94.16064399823277,15,99.95353622515017,Strategic Priority,99.88,99.86,99.88,99.79,32.22
1991302,semaglutide,94.14665493856224,16,99.95021738408948,Strategic Priority,99.97,99.91,99.96,99.88,31.2
191831,infliximab,94.1425525074035,17,99.94689854302877,Strategic Priority,99.72,99.96,99.71,99.83,32.76
1721560,osimertinib,94.12895815851583,18,99.94357970196808,Strategic Priority,99.64,99.98,99.64,99.56,33.5
214555,etanercept,94.11940132183184,19,99.94026086090737,Strategic Priority,99.72,99.96,99.69,99.76,32.64
114194,warfarin sodium,94.11729780237249,20,99.93694201984667,Strategic Priority,99.85,99.85,99.8,99.79,32.03
1371041,ado-trastuzumab emtansine,94.09482723333853,21,99.93362317878596,Strategic Priority,99.62,99.97,99.57,99.44,33.55
32968,clopidogrel,94.08056931054806,22,99.93030433772526,Strategic Priority,99.86,99.86,99.79,99.59,31.87
253181,"insulin isophane, human",94.07554896925376,23,99.92698549666457,Strategic Priority,99.98,99.93,99.98,99.3,31.17
847083,ustekinumab,94.07405239076641,24,99.92366665560385,Strategic Priority,99.69,99.94,99.62,99.67,32.58
1116632,ticagrelor,94.06002904621201,25,99.92034781454316,Strategic Priority,99.84,99.84,99.77,99.56,31.86
