rxcui,drug_name,ehi_v6_score,ehi_v6_rank,ehi_v6_percentile,ehi_v6_tier_label,utilization_score,spend_score,population_impact_score,disease_burden_score,risk_score,ehi_score,ehi_rank,ehi_percentile,ehi_tier_label,ehi_v6_framework_version,ehi_v6_weighting_method,ehi_v6_validation_score,ehi_v6_validation_status,ehi_v6_dashboard_language
327361,adalimumab,94.3367,1,100.0,Strategic Priority,99.88,100.0,99.85,100.0,33.66,93.31,1,100.0,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1364430,apixaban,94.2522,2,99.996681,Strategic Priority,99.95,99.9,99.95,99.85,32.64,93.19,4,99.99,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
253337,bevacizumab,94.2446,3,99.993362,Strategic Priority,99.66,99.99,99.7,99.94,34.01,93.24,2,100.0,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
1547545,pembrolizumab,94.2329,4,99.990043,Strategic Priority,99.64,99.99,99.69,99.93,34.0,93.23,3,99.99,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
253182,"insulin, regular, human",94.2304,5,99.986725,Strategic Priority,100.0,99.96,100.0,99.95,31.73,93.15,7,99.97,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
86009,insulin lispro,94.2117,6,99.983406,Strategic Priority,99.99,99.95,100.0,99.92,31.63,93.13,8,99.97,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
342369,lenalidomide,94.2046,7,99.980087,Strategic Priority,99.68,100.0,99.68,99.81,33.67,93.18,5,99.99,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
274783,insulin glargine,94.2019,8,99.976768,Strategic Priority,99.99,99.94,99.99,99.95,31.51,93.12,9,99.97,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
51428,"insulin aspart, human",94.1978,9,99.973449,Strategic Priority,99.99,99.95,99.99,99.88,31.55,93.11,10,99.96,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
224905,trastuzumab,94.197,10,99.97013,Strategic Priority,99.66,99.99,99.68,99.84,33.65,93.18,5,99.99,Enterprise Critical,EHI_V6_PRODUCTION_MASTER_V1,Hybrid ML-informed transparent weighting,92.53,Validated,"Calculated using a statistically calibrated healthcare importance framework incorporating utilization, spend, population impact, disease burden, and risk. Tier assignments are percentile-calibrated and validated using ML weight discovery, sensitivity testing, benchmark analysis, and validation scoring."
