rxcui,drug_name,eis_score,eis_rank,eis_percentile,eis_tier,ehi_v6_score,eii_score,ehi_v6_validation_score,portfolio_value_score,strategic_opportunity_score,deployment_readiness_score,eis_framework_version,eis_weighting_method
38,Parlodel,39.8992,17792,40.936546,Foundational,36.2574,23.7652,92.53,27.7287,31.1668,37.3805,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
44,mesna,53.248,12662,57.978229,Foundational,58.299,36.2397,92.53,44.1495,44.4846,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
61,beta-alanine,50.7458,13368,55.638524,Foundational,57.356,32.7528,92.53,43.678,37.6522,40.2215,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
73,docosahexaenoate,28.509,22347,25.839639,Foundational,17.9649,13.5775,92.53,13.4824,18.9602,28.2555,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
74,4-aminobenzoic acid,53.9678,12498,58.52582,Foundational,59.2768,36.971,92.53,44.6384,45.8006,47.5055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
90,eicosapentaenoic acid,52.8757,12817,57.463826,Foundational,59.3788,35.2516,92.53,44.6894,42.3465,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
94,5-hydroxytryptophan,52.9878,12783,57.573344,Foundational,58.9924,35.5727,92.53,44.4962,43.0466,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
97,ticlopidine hydrochloride,51.6051,13129,56.431701,Foundational,56.2443,34.4563,92.53,42.5221,42.1509,44.5705,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
99,6-aminocaproic acid,53.1444,12747,57.696137,Foundational,59.3443,35.6783,92.53,44.6722,43.2049,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
103,mercaptopurine,53.942,12540,58.386433,Foundational,59.2187,36.9536,92.53,44.6094,45.7744,47.5055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
110,oxyquinoline,53.3398,12642,58.046263,Foundational,59.145,36.0555,92.53,44.5725,43.9893,45.7535,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
149,acebutolol,53.3236,12649,58.019713,Foundational,58.4689,36.2907,92.53,44.2344,44.561,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
154,acenocoumarol,52.7309,12873,57.281296,Foundational,59.182,35.1046,92.53,44.591,42.0819,43.8295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
155,acepromazine,53.1014,12756,57.666268,Foundational,57.9696,36.1409,92.53,43.9848,44.3363,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
161,acetaminophen,52.8757,12817,57.463826,Foundational,59.3788,35.2516,92.53,44.6894,42.3465,44.0055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
162,acetanilide,45.8577,15146,49.714589,Foundational,52.7364,26.8249,92.53,38.9682,30.1894,32.2375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
164,acetate,46.1398,15144,49.744458,Foundational,52.7364,27.2589,92.53,38.9682,31.0574,33.1055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
167,acetazolamide,53.6409,12565,58.298487,Foundational,59.182,36.5046,92.53,44.591,44.8819,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
168,acetic acid,53.1765,12743,57.712731,Foundational,59.4163,35.6999,92.53,44.7082,43.2373,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
173,acetohexamide,52.8625,12823,57.447232,Foundational,58.7955,35.4556,92.53,44.3978,42.842,44.7635,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
178,acetone,50.5297,13374,55.618611,Foundational,57.5161,32.3588,92.53,43.758,36.8402,39.3375,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
193,acetylcarnitine,52.7502,12858,57.324439,Foundational,57.1804,35.9041,92.53,43.5902,43.9812,46.6295,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
194,acetylcholine,53.3256,12646,58.031329,Foundational,57.8336,36.5381,92.53,43.9168,45.1511,47.5055,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
195,acetylcholinesterase,49.2539,13835,54.047192,Foundational,57.1804,30.5251,92.53,43.5902,33.2232,35.8715,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
197,acetylcysteine,53.1722,12744,57.709412,Foundational,59.4068,35.697,92.53,44.7034,43.2331,44.8795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
199,acetyldigoxins,41.9217,15861,46.437342,Foundational,47.3891,22.6877,92.53,34.4945,25.4921,27.9965,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
200,acetylene,43.5671,15492,48.543077,Foundational,49.499,24.4537,92.53,36.1495,27.7826,29.9875,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
211,Topicycline,25.2993,23417,11.145958,Foundational,17.9649,8.6395,92.53,13.4824,9.0842,18.3795,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
236,acidulated phosphate fluoride,44.5081,15298,49.230054,Foundational,47.3891,26.6667,92.53,34.4945,33.4501,35.9545,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
239,aclarubicin,49.544,13742,54.397318,Foundational,56.2443,31.2853,92.53,42.5221,35.8089,38.2285,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
242,aconite,36.6817,18153,39.746781,Foundational,36.2574,18.8152,92.53,27.7287,21.2668,27.4805,H3A10E_EIS_MASTER_V1,"Executive impact framework combining healthcare importance, enterprise intelligence, validation strength, portfolio value, strategic opportunity, and deployment readiness."
