rxcui,drug_name,utilization_raw,utilization_score,utilization_percentile,spend_raw,spend_score,spend_percentile,disease_burden_raw,disease_burden_score,disease_burden_percentile,population_impact_raw,population_impact_score,population_impact_percentile,risk_raw,risk_score,risk_percentile,ehi_score,ehi_rank,ehi_percentile,ehi_tier,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,calibration_boost_total,calibration_utilization_boost,calibration_spend_boost,calibration_disease_burden_boost,calibration_population_impact_boost,calibration_risk_boost,calibration_notes,methodology_version,calculation_date,source_coverage_flag,source_overall_intelligence_score,source_claims_readiness_score,source_ai_readiness_score,source_semantic_richness_score,source_interoperability_score,source_clinical_semantics_score,source_explainability_score,source_relationship_density_score,source_classification_density_score,source_relationship_count,source_classification_count,source_disease_count,source_atc_hierarchy_depth,source_schedule_count
38,Parlodel,26.137355303332004,34.44,34.44,27.88296614894464,34.63,34.63,17.767323775388295,25.26,25.26,25.3653563653259,32.85,32.85,61.54894713261649,73.74,73.74,36.34,3275,32.85,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
44,mesna,44.63974346210009,57.32,57.32,63.51854838709678,68.12,68.12,17.767323775388295,25.26,25.26,40.761132682862076,55.19,55.19,66.75043973184654,97.73,97.73,57.33,3052,55.46,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,16.0,0.0,0.0,0.0,0.0
61,beta-alanine,44.095305655117485,56.09,56.09,62.701891676622864,66.91,66.91,17.767323775388295,25.26,25.26,39.672257068896855,54.44,54.44,66.4101661024824,96.88,96.88,56.46,3105,54.54,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,11.0,0.0,0.0,0.0,0.0
73,docosahexaenoate,11.759474976768884,12.95,12.95,11.96689565909996,12.95,12.95,17.767323775388295,25.26,25.26,18.213095712199657,12.95,12.95,59.36433442851454,52.25,52.25,19.34,3276,12.95,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,7.5,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4-aminobenzoic acid,45.118636333466085,58.18,58.18,64.23688769414576,69.54,69.54,17.767323775388295,25.26,25.26,41.718918425594055,56.64,56.64,67.04974777645029,98.77,98.77,58.26,2998,57.58,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,29.0,0.0,0.0,0.0,0.0
90,eicosapentaenoic acid,45.16460075667065,58.29,58.29,64.30583432895261,69.66,69.66,17.767323775388295,25.26,25.26,41.81084727200319,56.77,56.77,67.07847554095314,98.9,98.9,58.36,2990,57.73,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,35.0,0.0,0.0,0.0,0.0
94,5-hydroxytryptophan,44.97344185583433,57.84,57.84,64.01909597769813,69.22,69.22,17.767323775388295,25.26,25.26,41.42852947033055,56.32,56.32,66.95900122793044,98.44,98.44,58.0,3013,57.17,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,22.0,0.0,0.0,0.0,0.0
97,ticlopidine hydrochloride,42.27457387495022,54.81,54.81,59.096544006371964,65.34,65.34,17.767323775388295,25.26,25.26,38.43429350856233,53.24,53.24,65.98002123987787,96.09,96.09,55.42,3156,53.46,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,29.02,48.0,13.5,18.0,48.0,0.0,19.0,90.0,0.0,9.0,0.0,0.0,0.0,0.0
99,6-aminocaproic acid,45.144854307712734,58.25,58.25,64.27621465551573,69.62,69.62,17.767323775388295,25.26,25.26,41.771354374087345,56.73,56.73,67.06613401035443,98.86,98.86,58.33,2993,57.68,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,32.0,0.0,0.0,0.0,0.0
103,mercaptopurine,45.09075899376079,58.11,58.11,64.19507168458782,69.48,69.48,17.767323775388295,25.26,25.26,41.663163746183464,56.57,56.57,67.03232443913447,98.7,98.7,58.21,3002,57.5,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,No calibration boost applied,EHI_REAL_PLATFORM_INPUTS_CALIBRATED_V1,2026-06-05 00:05:47,Platform-Derived Proxy + Calibration,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,27.0,0.0,0.0,0.0,0.0
