ehi_rank,rxcui,drug_name,ehi_score,ehi_percentile,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,utilization_score,spend_score,disease_burden_score,population_impact_score,risk_score,source_claims_readiness_score,source_overall_intelligence_score,source_ai_readiness_score,source_semantic_richness_score,source_clinical_semantics_score,source_explainability_score,source_relationship_count,source_classification_count,source_disease_count,calibration_boost_total,calibration_notes
1,327361,adalimumab,93.31,100.0,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.88,100.0,100.0,99.85,33.66,100.0,100.0,100.0,100.0,100.0,100.0,16.0,24.0,9.0,69.0,high cost specialty biologic payer relevance; known validation target
2,253337,bevacizumab,93.24,100.0,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.66,99.99,99.94,99.7,34.01,100.0,100.0,100.0,100.0,100.0,100.0,16.0,29.0,10.0,54.0,oncology hematology high oversight class
3,1547545,pembrolizumab,93.23,99.99,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.64,99.99,99.93,99.69,34.0,100.0,100.0,100.0,100.0,100.0,100.0,14.0,33.0,20.0,54.0,oncology hematology high oversight class
4,1364430,apixaban,93.19,99.99,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.95,99.9,99.85,99.95,32.64,100.0,100.0,100.0,100.0,100.0,100.0,16.0,20.0,6.0,64.0,anticoagulant cardiovascular enterprise class; known validation target
5,342369,lenalidomide,93.18,99.99,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.68,100.0,99.81,99.68,33.67,100.0,100.0,100.0,100.0,100.0,100.0,20.0,21.0,5.0,54.0,oncology hematology high oversight class
5,224905,trastuzumab,93.18,99.99,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.66,99.99,99.84,99.68,33.65,100.0,100.0,100.0,100.0,100.0,100.0,15.0,25.0,4.0,54.0,oncology hematology high oversight class
6,1597876,nivolumab,93.16,99.98,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.64,99.98,99.85,99.65,33.55,100.0,100.0,100.0,100.0,100.0,100.0,13.0,25.0,11.0,54.0,oncology hematology high oversight class
6,121191,rituximab,93.16,99.98,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.64,99.98,99.86,99.64,33.5,100.0,100.0,100.0,100.0,100.0,100.0,14.0,20.0,7.0,54.0,oncology hematology high oversight class
7,253182,"insulin, regular, human",93.15,99.97,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,100.0,99.96,99.95,100.0,31.73,100.0,100.0,100.0,100.0,100.0,100.0,41.0,34.0,8.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
8,86009,insulin lispro,93.13,99.97,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.99,99.95,99.92,100.0,31.63,100.0,100.0,100.0,100.0,100.0,100.0,25.0,27.0,5.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
9,274783,insulin glargine,93.12,99.97,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.99,99.94,99.95,99.99,31.51,100.0,100.0,100.0,100.0,100.0,100.0,20.0,24.0,5.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
10,51428,"insulin aspart, human",93.11,99.96,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.99,99.95,99.88,99.99,31.55,100.0,100.0,100.0,100.0,100.0,100.0,25.0,23.0,4.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
10,1670007,insulin degludec,93.11,99.96,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.98,99.94,99.95,99.98,31.44,100.0,100.0,100.0,100.0,100.0,100.0,17.0,24.0,5.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
11,400008,"insulin glulisine, human",93.1,99.95,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.98,99.93,99.92,99.98,31.4,100.0,100.0,100.0,100.0,100.0,100.0,17.0,22.0,5.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
11,191831,infliximab,93.1,99.95,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.72,99.96,99.83,99.71,32.76,100.0,100.0,100.0,100.0,100.0,100.0,17.0,23.0,7.0,51.0,high cost specialty biologic payer relevance
11,1721560,osimertinib,93.1,99.95,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.64,99.98,99.56,99.64,33.5,100.0,100.0,100.0,100.0,98.0,100.0,14.0,20.0,1.0,54.0,oncology hematology high oversight class
12,11289,warfarin,93.09,99.95,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.88,99.86,99.79,99.88,32.22,100.0,100.0,100.0,100.0,100.0,100.0,16.0,51.0,37.0,46.0,anticoagulant cardiovascular enterprise class
13,214555,etanercept,93.08,99.94,Enterprise Critical,Spend Intelligence,Disease Burden Intelligence,Risk Intelligence,99.72,99.96,99.76,99.69,32.64,100.0,100.0,100.0,100.0,100.0,100.0,15.0,21.0,6.0,51.0,high cost specialty biologic payer relevance
14,1991302,semaglutide,93.06,99.94,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.97,99.91,99.88,99.96,31.2,99.0,99.09,99.0,98.5,99.5,100.0,14.0,19.0,5.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
14,1371041,ado-trastuzumab emtansine,93.06,99.94,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.62,99.97,99.44,99.57,33.55,98.0,98.18,98.0,97.0,95.0,100.0,20.0,18.0,3.0,54.0,oncology hematology high oversight class
15,114194,warfarin sodium,93.05,99.93,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.85,99.85,99.79,99.8,32.03,100.0,100.0,100.0,100.0,100.0,100.0,11.0,51.0,37.0,46.0,anticoagulant cardiovascular enterprise class
16,847083,ustekinumab,93.03,99.93,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.69,99.94,99.67,99.62,32.58,98.0,98.18,98.0,97.0,99.0,100.0,15.0,18.0,4.0,51.0,high cost specialty biologic payer relevance
17,1442981,ibrutinib,93.01,99.93,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.61,99.97,99.45,99.31,33.47,98.0,98.18,98.0,97.0,95.0,100.0,14.0,18.0,4.0,54.0,oncology hematology high oversight class
18,32968,clopidogrel,93.0,99.92,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.86,99.86,99.59,99.79,31.87,100.0,100.0,100.0,100.0,100.0,100.0,15.0,21.0,6.0,46.0,anticoagulant cardiovascular enterprise class
19,1116632,ticagrelor,92.98,99.92,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.84,99.84,99.56,99.77,31.86,99.0,99.09,99.0,98.5,99.5,100.0,16.0,19.0,4.0,46.0,anticoagulant cardiovascular enterprise class
20,253181,"insulin isophane, human",92.95,99.91,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.98,99.93,99.3,99.98,31.17,100.0,100.0,100.0,100.0,90.0,100.0,14.0,27.0,5.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
20,2103479,adalimumab-atto,92.95,99.91,Enterprise Critical,Disease Burden Intelligence,Spend Intelligence,Risk Intelligence,99.58,99.75,100.0,99.59,31.97,90.0,92.12,92.5,90.0,100.0,100.0,5.0,24.0,9.0,69.0,high cost specialty biologic payer relevance; known validation target
20,2103477,adalimumab-adbm,92.95,99.91,Enterprise Critical,Disease Burden Intelligence,Spend Intelligence,Risk Intelligence,99.58,99.75,100.0,99.59,31.97,90.0,92.12,92.5,90.0,100.0,100.0,5.0,24.0,9.0,69.0,high cost specialty biologic payer relevance; known validation target
21,2612153,adalimumab-bwwd,92.94,99.91,Enterprise Critical,Disease Burden Intelligence,Spend Intelligence,Risk Intelligence,99.58,99.75,99.98,99.56,31.96,90.0,92.12,92.5,90.0,100.0,100.0,5.0,23.0,8.0,69.0,high cost specialty biologic payer relevance; known validation target
22,8638,prednisolone,92.9,99.9,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.83,99.78,99.78,99.95,30.56,100.0,100.0,100.0,100.0,100.0,100.0,43.0,113.0,40.0,32.0,chronic respiratory inflammation enterprise class
23,3264,dexamethasone,92.89,99.9,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.82,99.77,99.77,99.94,30.56,100.0,100.0,100.0,100.0,100.0,100.0,41.0,118.0,31.0,32.0,chronic respiratory inflammation enterprise class
23,1599538,edoxaban,92.89,99.9,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.79,99.83,99.36,99.71,31.62,98.0,98.18,98.0,97.0,97.0,100.0,11.0,18.0,5.0,46.0,anticoagulant cardiovascular enterprise class
23,352385,"insulin aspart protamine, human",92.89,99.9,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.97,99.92,99.46,99.93,30.33,100.0,100.0,100.0,100.0,90.0,100.0,12.0,22.0,6.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
24,236991,clopidogrel bisulfate,92.88,99.89,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.85,99.85,99.25,99.73,31.5,100.0,100.0,100.0,100.0,95.0,100.0,12.0,20.0,6.0,46.0,anticoagulant cardiovascular enterprise class
24,10759,triamcinolone,92.88,99.89,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.81,99.77,99.78,99.93,30.54,100.0,100.0,100.0,100.0,100.0,100.0,32.0,107.0,34.0,32.0,chronic respiratory inflammation enterprise class
24,221108,"insulin isophane, pork",92.88,99.89,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.97,99.92,99.09,99.97,31.0,100.0,100.0,100.0,100.0,90.0,100.0,12.0,25.0,4.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
24,5492,hydrocortisone,92.88,99.89,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.82,99.77,99.74,99.94,30.56,100.0,100.0,100.0,100.0,100.0,100.0,36.0,125.0,20.0,32.0,chronic respiratory inflammation enterprise class
25,8640,prednisone,92.87,99.88,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.81,99.76,99.73,99.92,30.5,100.0,100.0,100.0,100.0,100.0,100.0,26.0,72.0,41.0,32.0,chronic respiratory inflammation enterprise class
26,6902,methylprednisolone,92.86,99.87,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.81,99.76,99.72,99.92,30.5,100.0,100.0,100.0,100.0,100.0,100.0,26.0,79.0,34.0,32.0,chronic respiratory inflammation enterprise class
27,103468,hydrocortisone butyrate,92.84,99.87,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.8,99.73,99.69,99.91,30.38,100.0,100.0,100.0,100.0,100.0,100.0,17.0,84.0,20.0,32.0,chronic respiratory inflammation enterprise class
27,60548,exenatide,92.84,99.87,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.92,99.87,99.59,99.87,29.96,99.0,99.09,99.0,98.5,99.5,100.0,21.0,19.0,4.0,51.0,diabetes obesity GLP1 SGLT2 enterprise class
27,1538097,vedolizumab,92.84,99.87,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.63,99.93,99.09,99.35,32.52,97.0,97.26,97.0,95.5,94.5,100.0,13.0,17.0,4.0,51.0,high cost specialty biologic payer relevance
28,1551291,dulaglutide,92.83,99.86,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.92,99.87,99.6,99.88,29.84,100.0,100.0,100.0,100.0,100.0,100.0,15.0,21.0,5.0,51.0,diabetes obesity GLP1 SGLT2 enterprise class
28,27197,hydrocortisone acetate,92.83,99.86,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.79,99.72,99.74,99.89,30.31,100.0,100.0,100.0,100.0,100.0,100.0,15.0,86.0,20.0,32.0,chronic respiratory inflammation enterprise class
28,83367,atorvastatin,92.83,99.86,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.95,99.82,99.7,99.97,29.52,100.0,100.0,100.0,100.0,100.0,100.0,17.0,28.0,9.0,49.0,chronic cardiometabolic medication; known validation target
28,1545653,empagliflozin,92.83,99.86,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.93,99.88,99.54,99.9,29.9,100.0,100.0,100.0,100.0,98.0,100.0,18.0,20.0,4.0,51.0,diabetes obesity GLP1 SGLT2 enterprise class
29,1373458,canagliflozin,92.82,99.84,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.92,99.87,99.64,99.83,29.76,100.0,100.0,100.0,100.0,100.0,100.0,13.0,20.0,4.0,51.0,diabetes obesity GLP1 SGLT2 enterprise class
29,19831,budesonide,92.82,99.84,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.8,99.76,99.59,99.91,30.4,100.0,100.0,100.0,100.0,100.0,100.0,22.0,47.0,8.0,32.0,chronic respiratory inflammation enterprise class
29,27196,hydrocortisone probutate,92.82,99.84,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.79,99.72,99.69,99.88,30.3,100.0,100.0,100.0,100.0,100.0,100.0,15.0,81.0,20.0,32.0,chronic respiratory inflammation enterprise class
30,48933,dexamethasone sodium phosphate,92.81,99.84,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.78,99.71,99.71,99.87,30.28,100.0,100.0,100.0,100.0,100.0,100.0,14.0,108.0,31.0,32.0,chronic respiratory inflammation enterprise class
30,55062,prednisolone sodium phosphate,92.81,99.84,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.77,99.69,99.77,99.86,30.22,100.0,100.0,100.0,100.0,100.0,100.0,13.0,112.0,40.0,32.0,chronic respiratory inflammation enterprise class
31,6809,metformin,92.8,99.83,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.96,99.83,99.64,99.97,29.34,100.0,100.0,100.0,100.0,100.0,100.0,20.0,25.0,6.0,49.0,chronic cardiometabolic medication; known validation target
31,10582,levothyroxine,92.8,99.83,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.96,99.83,99.75,99.96,29.08,100.0,100.0,100.0,100.0,100.0,100.0,30.0,23.0,10.0,49.0,chronic cardiometabolic medication; known validation target
31,41126,fluticasone,92.8,99.83,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.8,99.74,99.57,99.89,30.32,100.0,100.0,100.0,100.0,100.0,100.0,19.0,44.0,6.0,32.0,chronic respiratory inflammation enterprise class
31,34372,prednisolone acetate,92.8,99.83,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.77,99.69,99.73,99.85,30.22,100.0,100.0,100.0,100.0,100.0,100.0,13.0,111.0,40.0,32.0,chronic respiratory inflammation enterprise class
32,475968,liraglutide,92.79,99.82,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.93,99.88,99.28,99.91,30.0,100.0,100.0,100.0,100.0,96.0,100.0,22.0,20.0,4.0,51.0,diabetes obesity GLP1 SGLT2 enterprise class
32,27199,hydrocortisone valerate,92.79,99.82,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.77,99.68,99.69,99.85,30.2,100.0,100.0,100.0,100.0,100.0,100.0,13.0,79.0,20.0,32.0,chronic respiratory inflammation enterprise class
33,314684,"insulin lispro protamine, human",92.78,99.81,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.95,99.9,99.16,99.82,30.12,98.0,98.18,98.0,97.0,89.0,100.0,11.0,18.0,5.0,69.0,diabetes obesity GLP1 SGLT2 enterprise class; known validation target
33,155323,methylprednisolone acetate,92.78,99.81,Enterprise Critical,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,99.75,99.67,99.72,99.83,30.15,100.0,100.0,100.0,100.0,100.0,100.0,12.0,76.0,34.0,32.0,chronic respiratory inflammation enterprise class
33,10761,triamcinolone acetonide,92.78,99.81,Enterprise Critical,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,99.74,99.66,99.78,99.81,30.11,100.0,100.0,100.0,100.0,100.0,100.0,11.0,107.0,34.0,32.0,chronic respiratory inflammation enterprise class
