rxcui,drug_name,utilization_raw,utilization_score,utilization_percentile,spend_raw,spend_score,spend_percentile,disease_burden_raw,disease_burden_score,disease_burden_percentile,population_impact_raw,population_impact_score,population_impact_percentile,risk_raw,risk_score,risk_percentile,ehi_score,ehi_rank,ehi_percentile,ehi_tier,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,methodology_version,calculation_date,source_coverage_flag
3264,dexamethasone,117.56034745339672,68.79,68.79,35.23456109857038,8.03,8.03,32.507334763482774,17.59,17.59,61.3621709116848,45.14,45.14,53.362873388054425,85.31,85.31,41.46,3940,27.45,4,Limited Enterprise Impact,Risk Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3287,dextroamphetamine sulfate,85.20579752535824,44.06,44.06,223.24395639674287,95.31,95.31,55.74674684793684,40.82,40.82,22.343071517332742,10.89,10.89,11.945180249633069,24.89,24.89,49.33,3153,48.19,3,Operationally Relevant,Spend Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3288,dextroamphetamine,80.90811774920584,40.32,40.32,56.583772450420184,21.88,21.88,76.9660631589768,59.76,59.76,59.50848297778898,43.54,43.54,40.09187770787663,74.09,74.09,43.46,3740,32.43,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3289,dextromethorphan,80.90884092697543,40.32,40.32,59.87849818583997,24.26,24.26,53.94096145843291,38.98,38.98,87.05490320297241,63.99,63.99,10.16043058983449,20.46,20.46,37.6,4326,19.05,4,Limited Enterprise Impact,Population Impact Intelligence,Utilization Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3322,diazepam,189.9527529081005,94.38,94.38,228.71643178108928,95.82,95.82,112.66801425951655,81.79,81.79,23.83331234897904,12.04,12.04,16.39343352703017,35.38,35.38,73.97,726,96.05,1,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3339,dibucaine,133.53133159660894,77.75,77.75,78.08618155261843,38.48,38.48,62.93847389510226,47.76,47.76,34.07609621510098,20.83,20.83,21.401504777429892,46.04,46.04,50.23,3063,50.82,3,Operationally Relevant,Utilization Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3353,dichlorphenamide,70.9789745487358,31.56,31.56,86.28195381181368,44.55,44.55,64.50898119036309,49.24,49.24,315.2847888785486,99.63,99.63,2.7912980362366975,3.66,3.66,45.76,3510,38.48,4,Limited Enterprise Impact,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3355,diclofenac,120.17007596934772,70.53,70.53,23.065256529030716,2.88,2.88,67.81232091194953,52.16,52.16,11.819316571287693,3.53,3.53,48.579887095724246,82.16,82.16,41.06,3980,26.54,4,Limited Enterprise Impact,Risk Intelligence,Utilization Intelligence,Spend Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3356,dicloxacillin,103.74445962137497,59.4,59.4,95.75284906873259,51.28,51.28,107.33535606358151,79.32,79.32,118.45191332444594,79.33,79.33,17.886527265874868,38.76,38.76,62.28,1859,80.8,2,Strategically Important,Population Impact Intelligence,Disease Burden Intelligence,Risk Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
3361,dicyclomine,27.193995644809167,2.31,2.31,50.85575344323614,17.94,17.94,105.81145809192735,78.61,78.61,123.26562596808503,81.15,81.15,16.028106616898462,34.58,34.58,36.53,4433,16.99,4,Limited Enterprise Impact,Population Impact Intelligence,Disease Burden Intelligence,Utilization Intelligence,EHI_PROTOTYPE_V1,2026-06-04 23:22:51,Prototype
