rxcui,drug_name,utilization_raw,utilization_score,utilization_percentile,spend_raw,spend_score,spend_percentile,disease_burden_raw,disease_burden_score,disease_burden_percentile,population_impact_raw,population_impact_score,population_impact_percentile,risk_raw,risk_score,risk_percentile,ehi_score,ehi_rank,ehi_percentile,ehi_tier,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,methodology_version,calculation_date,source_coverage_flag,source_overall_intelligence_score,source_claims_readiness_score,source_ai_readiness_score,source_semantic_richness_score,source_interoperability_score,source_clinical_semantics_score,source_explainability_score,source_relationship_density_score,source_classification_density_score,source_relationship_count,source_classification_count,source_disease_count,source_atc_hierarchy_depth,source_schedule_count
38,Parlodel,26.137355303332004,34.46,34.46,27.88296614894464,34.65,34.65,17.767323775388295,25.3,25.3,25.3653563653259,32.91,32.91,61.54894713261649,73.8,73.8,36.38,3219,32.91,4,Limited Enterprise Impact,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,15.23,32.0,1.5,2.0,32.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0
44,mesna,44.63974346210009,57.34,57.34,63.51854838709678,68.17,68.17,17.767323775388295,25.3,25.3,40.761132682862076,55.19,55.19,66.75043973184654,97.74,97.74,57.36,3008,55.48,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,16.0,0.0,0.0,0.0,0.0
61,beta-alanine,44.095305655117485,56.1,56.1,62.701891676622864,66.95,66.95,17.767323775388295,25.3,25.3,39.672257068896855,54.45,54.45,66.4101661024824,96.89,96.89,56.48,3060,54.56,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,11.0,0.0,0.0,0.0,0.0
73,docosahexaenoate,11.759474976768884,12.97,12.97,11.96689565909996,12.97,12.97,17.767323775388295,25.3,25.3,18.213095712199657,12.97,12.97,59.36433442851454,52.27,52.27,19.37,3220,12.97,4,Limited Enterprise Impact,Risk Intelligence,Disease Burden Intelligence,Population Impact Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,7.5,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4-aminobenzoic acid,45.118636333466085,58.19,58.19,64.23688769414576,69.61,69.61,17.767323775388295,25.3,25.3,41.718918425594055,56.65,56.65,67.04974777645029,98.79,98.79,58.3,2954,57.61,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,29.0,0.0,0.0,0.0,0.0
90,eicosapentaenoic acid,45.16460075667065,58.3,58.3,64.30583432895261,69.73,69.73,17.767323775388295,25.3,25.3,41.81084727200319,56.78,56.78,67.07847554095314,98.92,98.92,58.39,2947,57.74,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,35.0,0.0,0.0,0.0,0.0
94,5-hydroxytryptophan,44.97344185583433,57.85,57.85,64.01909597769813,69.29,69.29,17.767323775388295,25.3,25.3,41.42852947033055,56.33,56.33,66.95900122793044,98.46,98.46,58.03,2972,57.18,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,22.0,0.0,0.0,0.0,0.0
97,ticlopidine hydrochloride,42.27457387495022,54.82,54.82,59.096544006371964,65.39,65.39,17.767323775388295,25.3,25.3,38.43429350856233,53.25,53.25,65.98002123987787,96.1,96.1,55.45,3107,53.46,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,29.02,48.0,13.5,18.0,48.0,0.0,19.0,90.0,0.0,9.0,0.0,0.0,0.0,0.0
99,6-aminocaproic acid,45.144854307712734,58.26,58.26,64.27621465551573,69.68,69.68,17.767323775388295,25.3,25.3,41.771354374087345,56.74,56.74,67.06613401035443,98.88,98.88,58.36,2950,57.7,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,32.0,0.0,0.0,0.0,0.0
103,mercaptopurine,45.09075899376079,58.13,58.13,64.19507168458782,69.54,69.54,17.767323775388295,25.3,25.3,41.663163746183464,56.58,56.58,67.03232443913447,98.72,98.72,58.24,2958,57.52,3,Operationally Relevant,Risk Intelligence,Spend Intelligence,Disease Burden Intelligence,EHI_REAL_PLATFORM_INPUTS_V1,2026-06-04 23:36:14,Platform-Derived Proxy,30.75,50.0,15.0,20.0,50.0,0.0,20.0,100.0,0.0,27.0,0.0,0.0,0.0,0.0
