ehi_rank,rxcui,drug_name,ehi_score,ehi_percentile,ehi_tier_label,primary_driver,secondary_driver,limiting_factor,utilization_score,spend_score,disease_burden_score,population_impact_score,risk_score,source_claims_readiness_score,source_overall_intelligence_score,source_ai_readiness_score,source_semantic_richness_score,source_clinical_semantics_score,source_explainability_score,source_relationship_count,source_classification_count,source_disease_count
1,4917,nitroglycerin,92.93,100.0,Enterprise Critical,Utilization Intelligence,Spend Intelligence,Risk Intelligence,99.93,99.91,99.1,99.91,31.66,100.0,100.0,100.0,100.0,100.0,100.0,37.0,44.0,14.0
2,9601,scopolamine,92.88,100.0,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.64,99.91,99.17,99.99,31.81,100.0,100.0,100.0,100.0,100.0,100.0,28.0,61.0,19.0
3,3992,epinephrine,92.81,99.99,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.98,99.99,99.94,99.95,28.35,100.0,100.0,100.0,100.0,100.0,100.0,42.0,73.0,14.0
4,6816,methamphetamine,92.77,99.99,Enterprise Critical,Utilization Intelligence,Population Impact Intelligence,Risk Intelligence,99.74,99.65,99.13,99.71,31.57,100.0,100.0,100.0,100.0,100.0,100.0,30.0,32.0,11.0
4,8638,prednisolone,92.77,99.99,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.99,100.0,99.66,99.97,28.41,100.0,100.0,100.0,100.0,100.0,100.0,43.0,113.0,40.0
5,3264,dexamethasone,92.76,99.98,Enterprise Critical,Spend Intelligence,Utilization Intelligence,Risk Intelligence,99.97,100.0,99.65,99.97,28.4,100.0,100.0,100.0,100.0,100.0,100.0,41.0,118.0,31.0
6,5492,hydrocortisone,92.7,99.98,Enterprise Critical,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,99.91,99.99,99.49,99.97,28.4,100.0,100.0,100.0,100.0,100.0,100.0,36.0,125.0,20.0
7,4083,estradiol,92.69,99.98,Enterprise Critical,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,99.89,99.96,99.58,99.94,28.3,100.0,100.0,100.0,100.0,100.0,100.0,35.0,55.0,18.0
7,10759,triamcinolone,92.69,99.98,Enterprise Critical,Spend Intelligence,Population Impact Intelligence,Risk Intelligence,99.79,99.98,99.65,99.96,28.38,100.0,100.0,100.0,100.0,100.0,100.0,32.0,107.0,34.0
8,8745,promethazine,92.52,99.97,Enterprise Critical,Population Impact Intelligence,Spend Intelligence,Risk Intelligence,99.29,99.72,98.16,99.96,31.8,100.0,100.0,100.0,100.0,100.0,100.0,23.0,56.0,11.0
